H,C,x,y
10Y,2,0.3556,0.3848
10Y,4,0.4188,0.4789
10Y,6,0.482,0.576
2.5GY,2,0.3421,0.3803
2.5GY,4,0.3881,0.4752
2.5GY,6,0.434,0.59
2.5GY,8,0.476,0.716
5GY,2,0.3309,0.3743
5GY,4,0.3582,0.465
5GY,6,0.3839,0.5748
5GY,8,0.409,0.71
5GY,10,0.418,0.825
7.5GY,2,0.3165,0.365
7.5GY,4,0.3248,0.4457
7.5GY,6,0.326,0.5379
7.5GY,8,0.316,0.6509
7.5GY,10,0.297,0.768
7.5GY,12,0.274,0.879
7.5GY,14,0.243,1.01
10GY,2,0.3069,0.358
10GY,4,0.2986,0.424
10GY,6,0.2852,0.4972
10GY,8,0.2628,0.5837
10GY,10,0.2307,0.6814
10GY,12,0.1907,0.7798
10GY,14,0.141,0.876
10GY,16,0.061,0.998
10GY,18,-0.03,1.11
2.5G,2,0.2978,0.3507
2.5G,4,0.2763,0.3998
2.5G,6,0.2493,0.4522
2.5G,8,0.2192,0.5042
2.5G,10,0.1773,0.5698
2.5G,12,0.1307,0.6308
2.5G,14,0.082,0.686
2.5G,16,0.0329,0.7358
2.5G,18,-0.02,0.788
5G,2,0.2918,0.345
5G,4,0.264,0.3845
5G,6,0.2318,0.4231
5G,8,0.1979,0.4583
5G,10,0.156,0.4981
5G,12,0.112,0.5358
5G,14,0.0688,0.5691
5G,16,0.0277,0.5986
5G,18,-0.015,0.625
7.5G,2,0.2869,0.34
7.5G,4,0.254,0.3705
7.5G,6,0.22,0.3983
7.5G,8,0.1842,0.4244
7.5G,10,0.1442,0.4505
7.5G,12,0.1022,0.4759
7.5G,14,0.0629,0.4973
7.5G,16,0.0276,0.5153
7.5G,18,-0.01,0.532
10G,2,0.282,0.3341
10G,4,0.2442,0.3559
10G,6,0.2092,0.3739
10G,8,0.1705,0.3911
10G,10,0.1321,0.4059
10G,12,0.0934,0.4183
10G,14,0.0599,0.427
10G,16,0.0285,0.4327
10G,18,-0.007,0.441
2.5BG,2,0.2765,0.3271
2.5BG,4,0.2343,0.3378
2.5BG,6,0.1971,0.3452
2.5BG,8,0.1557,0.3517
2.5BG,10,0.119,0.3551
2.5BG,12,0.0851,0.3576
2.5BG,14,0.0555,0.3588
2.5BG,16,0.029,0.359
2.5BG,18,-0.002,0.36
5BG,2,0.2697,0.3175
5BG,4,0.2234,0.315
5BG,6,0.1843,0.311
5BG,8,0.1405,0.3037
5BG,10,0.105,0.2956
5BG,12,0.0769,0.288
5BG,14,0.051,0.28
5BG,16,0.028,0.274
7.5BG,2,0.2651,0.3098
7.5BG,4,0.2162,0.2981
7.5BG,6,0.1747,0.2853
7.5BG,8,0.1325,0.271
7.5BG,10,0.0991,0.2582
7.5BG,12,0.0724,0.2478
7.5BG,14,0.05,0.237
7.5BG,16,0.028,0.228
10BG,2,0.2606,0.301
10BG,4,0.2096,0.279
10BG,6,0.1669,0.257
10BG,8,0.1258,0.2331
10BG,10,0.0929,0.2133
10BG,12,0.068,0.194
10BG,14,0.05,0.181
2.5B,2,0.2578,0.294
2.5B,4,0.206,0.2649
2.5B,6,0.1621,0.2358
2.5B,8,0.123,0.2076
2.5B,10,0.0911,0.1828
2.5B,12,0.067,0.165
5B,2,0.2559,0.2874
5B,4,0.2048,0.2518
5B,6,0.1617,0.2162
5B,8,0.1245,0.1827
5B,10,0.0965,0.1558
5B,12,0.077,0.136
7.5B,2,0.2545,0.2799
7.5B,4,0.2063,0.24
7.5B,6,0.1658,0.2026
7.5B,8,0.1313,0.1692
7.5B,10,0.1051,0.1422
7.5B,12,0.088,0.124
7.5B,14,0.07,0.106
10B,2,0.2558,0.2725
10B,4,0.2102,0.2313
10B,6,0.1716,0.1937
10B,8,0.1396,0.1603
10B,10,0.1157,0.1346
10B,12,0.099,0.115
10B,14,0.083,0.097
2.5PB,2,0.2592,0.2675
2.5PB,4,0.2175,0.2245
2.5PB,6,0.1825,0.1857
2.5PB,8,0.154,0.153
2.5PB,10,0.1332,0.1278
2.5PB,12,0.1166,0.1076
2.5PB,14,0.102,0.089
2.5PB,16,0.092,0.076
2.5PB,18,0.084,0.064
5PB,2,0.2638,0.2624
5PB,4,0.2263,0.2192
5PB,6,0.1942,0.1811
5PB,8,0.1685,0.1491
5PB,10,0.15,0.124
5PB,12,0.1363,0.1048
5PB,14,0.1253,0.0873
5PB,16,0.117,0.074
5PB,18,0.111,0.064
5PB,20,0.108,0.058
5PB,22,0.104,0.052
5PB,24,0.1,0.046
5PB,26,0.098,0.042
5PB,28,0.097,0.04
5PB,30,0.096,0.038
5PB,32,0.095,0.036
5PB,34,0.093,0.033
5PB,36,0.092,0.031
5PB,38,0.09,0.028
5PB,40,0.089,0.025
5PB,42,0.087,0.022
5PB,44,0.086,0.019
5PB,46,0.084,0.016
7.5PB,2,0.2712,0.2582
7.5PB,4,0.242,0.2148
7.5PB,6,0.2189,0.179
7.5PB,8,0.2005,0.1495
7.5PB,10,0.1882,0.1258
7.5PB,12,0.1813,0.1094
7.5PB,14,0.1762,0.0955
7.5PB,16,0.1728,0.0839
7.5PB,18,0.1701,0.0742
7.5PB,20,0.1685,0.0666
7.5PB,22,0.167,0.0594
7.5PB,24,0.166,0.0538
7.5PB,26,0.1653,0.0492
7.5PB,28,0.1647,0.0451
7.5PB,30,0.164,0.0409
7.5PB,32,0.1635,0.0373
7.5PB,34,0.163,0.034
7.5PB,36,0.1628,0.031
7.5PB,38,0.1623,0.028
7.5PB,40,0.162,0.025
7.5PB,42,0.162,0.022
7.5PB,44,0.162,0.019
7.5PB,46,0.161,0.016
7.5PB,48,0.161,0.013
7.5PB,50,0.16,0.01
10PB,2,0.2803,0.2567
10PB,4,0.26,0.2162
10PB,6,0.244,0.184
10PB,8,0.2294,0.1551
10PB,10,0.22,0.133
10PB,12,0.2139,0.117
10PB,14,0.2087,0.1026
10PB,16,0.2052,0.091
10PB,18,0.2021,0.0808
10PB,20,0.1998,0.0718
10PB,22,0.1978,0.0643
10PB,24,0.1962,0.0578
10PB,26,0.1949,0.052
10PB,28,0.1937,0.0471
10PB,30,0.1925,0.042
10PB,32,0.1918,0.0379
10PB,34,0.1911,0.0344
10PB,36,0.19,0.031
10PB,38,0.19,0.028
10PB,40,0.19,0.025
10PB,42,0.189,0.022
10PB,44,0.189,0.019
10PB,46,0.189,0.016
10PB,48,0.188,0.013
10PB,50,0.188,0.01
2.5P,2,0.2892,0.2583
2.5P,4,0.2758,0.2208
2.5P,6,0.2661,0.1921
2.5P,8,0.257,0.1635
2.5P,10,0.2501,0.1422
2.5P,12,0.2449,0.1245
2.5P,14,0.2406,0.11
2.5P,16,0.2372,0.098
2.5P,18,0.2345,0.0873
2.5P,20,0.232,0.0779
2.5P,22,0.2298,0.0696
2.5P,24,0.2277,0.0621
2.5P,26,0.226,0.0555
2.5P,28,0.2245,0.0491
2.5P,30,0.2231,0.0432
2.5P,32,0.222,0.038
2.5P,34,0.221,0.035
2.5P,36,0.22,0.031
2.5P,38,0.219,0.028
2.5P,40,0.219,0.025
2.5P,42,0.218,0.022
2.5P,44,0.217,0.019
5P,2,0.2984,0.2612
5P,4,0.2908,0.2261
5P,6,0.285,0.1992
5P,8,0.2791,0.1707
5P,10,0.2748,0.15
5P,12,0.2709,0.132
5P,14,0.2676,0.1163
5P,16,0.2652,0.1045
5P,18,0.2632,0.0935
5P,20,0.2612,0.0838
5P,22,0.2597,0.075
5P,24,0.2582,0.0669
5P,26,0.2569,0.0594
5P,28,0.2559,0.0525
5P,30,0.255,0.045
5P,32,0.254,0.039
5P,34,0.253,0.035
5P,36,0.252,0.031
7.5P,2,0.3071,0.2647
7.5P,4,0.3048,0.2321
7.5P,6,0.3025,0.2058
7.5P,8,0.3,0.1781
7.5P,10,0.2979,0.1569
7.5P,12,0.2956,0.1392
7.5P,14,0.2938,0.1235
7.5P,16,0.2922,0.1106
7.5P,18,0.2912,0.0995
7.5P,20,0.2902,0.0901
7.5P,22,0.289,0.0799
7.5P,24,0.2882,0.0719
7.5P,26,0.287,0.064
7.5P,28,0.286,0.055
7.5P,30,0.284,0.046
10P,2,0.3161,0.2691
10P,4,0.3189,0.239
10P,6,0.3207,0.2132
10P,8,0.3219,0.1862
10P,10,0.323,0.1659
10P,12,0.3233,0.1477
10P,14,0.3235,0.1317
10P,16,0.3235,0.1181
10P,18,0.3233,0.1063
10P,20,0.3231,0.0962
10P,22,0.323,0.0861
10P,24,0.322,0.076
10P,26,0.322,0.068
10P,28,0.322,0.058
2.5RP,2,0.3279,0.2754
2.5RP,4,0.3382,0.2496
2.5RP,6,0.347,0.2259
2.5RP,8,0.3555,0.2003
2.5RP,10,0.3617,0.18
2.5RP,12,0.3668,0.1618
2.5RP,14,0.3711,0.1449
2.5RP,16,0.3748,0.131
2.5RP,18,0.3778,0.1188
2.5RP,20,0.3802,0.108
2.5RP,22,0.383,0.096
2.5RP,24,0.386,0.086
2.5RP,26,0.388,0.076
5RP,2,0.3383,0.2829
5RP,4,0.3558,0.2597
5RP,6,0.3708,0.238
5RP,8,0.3858,0.214
5RP,10,0.3971,0.1939
5RP,12,0.408,0.1764
5RP,14,0.418,0.1598
5RP,16,0.4269,0.1454
5RP,18,0.4338,0.134
5RP,20,0.442,0.121
5RP,22,0.448,0.11
7.5RP,2,0.3459,0.2892
7.5RP,4,0.3702,0.2683
7.5RP,6,0.3918,0.249
7.5RP,8,0.4137,0.2276
7.5RP,10,0.4321,0.2082
7.5RP,12,0.4481,0.1903
7.5RP,14,0.4624,0.1737
7.5RP,16,0.4744,0.1595
7.5RP,18,0.485,0.146
7.5RP,20,0.497,0.132
10RP,2,0.3532,0.2957
10RP,4,0.385,0.2778
10RP,6,0.4139,0.2608
10RP,8,0.4428,0.2419
10RP,10,0.4678,0.2237
10RP,12,0.4911,0.206
10RP,14,0.5129,0.1888
10RP,16,0.531,0.174
10RP,18,0.546,0.161
2.5R,2,0.3614,0.3033
2.5R,4,0.4021,0.29
2.5R,6,0.439,0.276
2.5R,8,0.4776,0.2593
2.5R,10,0.5122,0.2428
2.5R,12,0.5438,0.2254
2.5R,14,0.5734,0.2083
2.5R,16,0.601,0.192
5R,2,0.3692,0.3111
5R,4,0.4184,0.3032
5R,6,0.4642,0.2934
5R,8,0.5143,0.28
5R,10,0.5557,0.2633
5R,12,0.593,0.2465
5R,14,0.6302,0.2287
5R,16,0.659,0.212
7.5R,2,0.3751,0.3181
7.5R,4,0.4335,0.3169
7.5R,6,0.4875,0.3123
7.5R,8,0.5433,0.3027
7.5R,10,0.5952,0.2874
7.5R,12,0.6392,0.2704
7.5R,14,0.6791,0.252
7.5R,16,0.714,0.234
10R,2,0.3811,0.3274
10R,4,0.4481,0.333
10R,6,0.5095,0.3331
10R,8,0.5713,0.3259
10R,10,0.6247,0.312
10R,12,0.6732,0.2937
10R,14,0.7165,0.2734
10R,16,0.752,0.254
2.5YR,2,0.3852,0.3365
2.5YR,4,0.4598,0.3508
2.5YR,6,0.528,0.3581
2.5YR,8,0.5995,0.359
2.5YR,10,0.659,0.35
2.5YR,12,0.718,0.34
2.5YR,14,0.779,0.323
2.5YR,16,0.824,0.309
5YR,2,0.388,0.3476
5YR,4,0.4674,0.3738
5YR,6,0.5426,0.3925
5YR,8,0.62,0.406
5YR,10,0.684,0.415
7.5YR,2,0.3889,0.359
7.5YR,4,0.469,0.3964
7.5YR,6,0.5475,0.4271
7.5YR,8,0.62,0.456
10YR,2,0.3872,0.3688
10YR,4,0.4676,0.4168
10YR,6,0.545,0.458
10YR,8,0.612,0.493
2.5Y,2,0.3825,0.3785
2.5Y,4,0.4627,0.4392
2.5Y,6,0.538,0.486
2.5Y,8,0.604,0.526
5Y,2,0.3757,0.3839
5Y,4,0.4543,0.4573
5Y,6,0.526,0.519
7.5Y,2,0.366,0.3858
7.5Y,4,0.4401,0.4723
7.5Y,6,0.51,0.547
